2013-08-15 20:11:49,683 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:11:49,891 || INFO || Operating system: Linux
2013-08-15 20:12:50,853 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:12:51,072 || INFO || Operating system: Linux
2013-08-15 20:13:25,539 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:13:25,758 || INFO || Operating system: Linux
2013-08-15 20:14:21,034 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:14:21,244 || INFO || Operating system: Linux
2013-08-15 20:14:55,809 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:14:56,014 || INFO || Operating system: Linux
2013-08-15 20:15:38,622 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:15:38,815 || INFO || Operating system: Linux
2013-08-15 20:15:44,048 || INFO || 	Languages switched
2013-08-15 20:15:47,275 || INFO || 	Languages switched
2013-08-15 20:15:50,046 || INFO || 	Languages switched
2013-08-15 20:30:07,825 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:30:08,012 || INFO || Operating system: Linux
2013-08-15 20:31:29,539 || INFO || 	 ====== DicoGIS ======
2013-08-15 20:31:29,762 || INFO || Operating system: Linux
2013-08-16 06:25:38,049 || INFO || 	 ====== DicoGIS ======
2013-08-16 06:25:38,683 || INFO || Operating system: Linux
2013-08-16 06:27:43,109 || INFO || 	 ====== DicoGIS ======
2013-08-16 06:27:43,299 || INFO || Operating system: Linux
2013-08-16 06:27:48,877 || INFO || Begin of folders parsing
2013-08-16 06:27:49,217 || INFO || End of folders parsing: 5 folders explored
2013-08-16 06:28:14,047 || INFO || 	 ====== DicoGIS ======
2013-08-16 06:28:14,247 || INFO || Operating system: Linux
2013-08-16 06:28:17,934 || INFO || Begin of folders parsing
2013-08-16 06:28:17,949 || INFO || End of folders parsing: 5 folders explored
2013-08-16 06:28:19,024 || INFO || Excel file created
2013-08-16 06:28:19,026 || INFO || 	Shapefiles processed
2013-08-16 06:28:19,027 || INFO || 
/home/guts/donnees/Lima_Callao/Lugares_Cultos/OSM/OSM_PlaceWorship_Nodes_2012-11-20.shp
2013-08-16 06:28:19,155 || INFO || 	 Infos OK
2013-08-16 06:28:19,185 || INFO || 	 Wrote into the dictionary
2013-08-16 06:28:19,193 || INFO || 
/home/guts/donnees/Lima_Callao/Lugares_Cultos/shp/Lugares_Culto.shp
2013-08-16 06:28:19,199 || INFO || 	 Infos OK
2013-08-16 06:28:19,203 || INFO || 	 Wrote into the dictionary
2013-08-16 06:28:19,210 || INFO || 
/home/guts/donnees/Lima_Callao/Lugares_Cultos/shp/Lugares_Culto_Buffer100.shp
2013-08-16 06:28:19,232 || INFO || 	 Infos OK
2013-08-16 06:28:19,236 || INFO || 	 Wrote into the dictionary
2013-08-16 06:28:19,242 || INFO || 
/home/guts/donnees/Lima_Callao/Vulnerabilidad_Espacial/Mailles_008.shp
2013-08-16 06:28:19,302 || INFO || 	 Infos OK
2013-08-16 06:28:19,307 || INFO || 	 Wrote into the dictionary
2013-08-16 06:28:19,314 || INFO || 
/home/guts/donnees/Lima_Callao/Vulnerabilidad_Espacial/Mailles_acces_physiq.shp
2013-08-16 06:28:19,348 || INFO || 	 Infos OK
2013-08-16 06:28:19,352 || INFO || 	 Wrote into the dictionary
2013-08-16 06:28:19,358 || INFO || 
/home/guts/donnees/Lima_Callao/Vulnerabilidad_Espacial/Mailles_inter_pompiers.shp
2013-08-16 06:28:19,380 || INFO || 	 Infos OK
2013-08-16 06:28:19,384 || INFO || 	 Wrote into the dictionary
2013-08-16 06:28:19,388 || INFO || 
/home/guts/donnees/Lima_Callao/Vulnerabilidad_Espacial/Mailles_tipo_seguro_2.shp
2013-08-16 06:28:19,396 || INFO || 	 Infos OK
2013-08-16 06:28:19,400 || INFO || 	 Wrote into the dictionary
2013-08-16 06:28:19,405 || INFO || 
	MapInfo tables processed
2013-08-16 06:28:23,967 || INFO || 
	Workbook saved: /home/guts/donnees/Lima_Callao/DicoShapes_Lima_Callao_2013-08-16.xls
2013-08-16 06:28:44,588 || INFO || 	 ====== DicoGIS ======
2013-08-16 06:28:44,770 || INFO || Operating system: Linux
2013-08-16 06:28:52,641 || INFO || Excel file created
2013-08-16 06:28:52,643 || INFO || 	PostGIS table processing...
2013-08-16 06:29:59,600 || INFO || Excel file created
2013-08-16 06:29:59,601 || INFO || 	PostGIS table processing...
2013-08-16 06:31:12,802 || INFO || 	 ====== DicoGIS ======
2013-08-16 06:31:12,998 || INFO || Operating system: Linux
2013-08-16 06:31:16,266 || INFO || Excel file created
2013-08-16 06:31:16,267 || INFO || 	PostGIS table processing...
2013-08-16 06:32:16,881 || INFO || 	 Wrote into the dictionary
2013-08-16 06:32:24,248 || INFO || 	 Wrote into the dictionary
2013-08-16 06:32:33,165 || INFO || 	 Wrote into the dictionary
2013-08-16 06:32:49,372 || INFO || 
	Workbook saved: /home/guts/code/GitHub/DicoGIS/test/youpiyo.xls
2013-08-16 11:21:09,187 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:21:09,825 || INFO || Operating system: Linux
2013-08-16 11:21:21,843 || INFO || Begin of folders parsing
2013-08-16 11:21:21,914 || INFO || End of folders parsing: 4 folders explored
2013-08-16 11:21:22,018 || INFO || Excel file created
2013-08-16 11:21:22,019 || INFO || 	Shapefiles processed
2013-08-16 11:21:22,021 || INFO || 
/home/guts/code/GitHub/DicoGIS/test/datatest/airports.shp
2013-08-16 11:21:22,142 || INFO || 	 Infos OK
2013-08-16 11:21:22,173 || INFO || 	 Wrote into the dictionary
2013-08-16 11:21:22,183 || INFO || 
	MapInfo tables processed
2013-08-16 11:21:22,184 || INFO || 
/home/guts/code/GitHub/DicoGIS/test/datatest/airports_MI/tab/airports_MI.tab
2013-08-16 11:21:22,274 || INFO || 	 Infos OK
2013-08-16 11:21:22,278 || INFO || 	 Wrote into the dictionary
2013-08-16 11:21:25,668 || INFO || 
	Workbook saved: .xls
2013-08-16 11:21:30,935 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:21:31,117 || INFO || Operating system: Linux
2013-08-16 11:21:36,217 || INFO || Begin of folders parsing
2013-08-16 11:21:36,227 || INFO || End of folders parsing: 4 folders explored
2013-08-16 11:34:17,716 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:34:25,981 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:35:32,103 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:35:32,300 || INFO || Operating system: Linux
2013-08-16 11:36:13,635 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:36:13,834 || INFO || Operating system: Linux
2013-08-16 11:37:50,204 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:37:50,400 || INFO || Operating system: Linux
2013-08-16 11:38:14,061 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:38:14,257 || INFO || Operating system: Linux
2013-08-16 11:38:29,492 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:38:29,688 || INFO || Operating system: Linux
2013-08-16 11:46:29,885 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:46:30,081 || INFO || Operating system: Linux
2013-08-16 11:48:02,225 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:48:02,429 || INFO || Operating system: Linux
2013-08-16 11:48:28,537 || INFO || Begin of folders parsing
2013-08-16 11:48:28,545 || INFO || End of folders parsing: 4 folders explored
2013-08-16 11:49:38,985 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:49:39,266 || INFO || Operating system: Linux
2013-08-16 11:50:47,487 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:50:47,687 || INFO || Operating system: Linux
2013-08-16 11:54:04,834 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:54:05,197 || INFO || Operating system: Linux
2013-08-16 11:57:27,288 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:57:27,861 || INFO || Operating system: Linux
2013-08-16 11:57:44,348 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:57:44,529 || INFO || Operating system: Linux
2013-08-16 11:57:48,376 || INFO || Begin of folders parsing
2013-08-16 11:57:48,465 || INFO || End of folders parsing: 4 folders explored
2013-08-16 11:58:44,255 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:58:44,453 || INFO || Operating system: Linux
2013-08-16 11:58:59,057 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:58:59,258 || INFO || Operating system: Linux
2013-08-16 11:59:03,376 || INFO || Begin of folders parsing
2013-08-16 11:59:03,390 || INFO || End of folders parsing: 4 folders explored
2013-08-16 11:59:42,242 || INFO || 	 ====== DicoGIS ======
2013-08-16 11:59:42,443 || INFO || Operating system: Linux
2013-08-16 11:59:45,686 || INFO || Begin of folders parsing
2013-08-16 11:59:45,693 || INFO || End of folders parsing: 4 folders explored
2013-08-16 11:59:56,232 || INFO || Begin of folders parsing
2013-08-16 11:59:56,241 || INFO || End of folders parsing: 8 folders explored
2013-08-16 12:00:34,195 || INFO || 	 ====== DicoGIS ======
2013-08-16 12:00:34,398 || INFO || Operating system: Linux
2013-08-16 12:00:54,053 || INFO || 	 ====== DicoGIS ======
2013-08-16 12:00:54,252 || INFO || Operating system: Linux
